date_formatted,starting_time_formatted,ending_time_formatted,date,starting_time,ending_time,duration_millis,num_interest_point_selections,num_theme_selections,num_taps,num_animation_starts,num_animation_stops,num_reset_home_view
2012-11-27 00:00:00.000,2012-11-27 15:15:54.301,2012-11-27 15:19:04.770,1353992400000,1354047354301,1354047544770,190469,3,5,2,31,31,10
2012-11-27 00:00:00.000,2012-11-27 15:22:51.323,2012-11-27 15:25:03.260,1353992400000,1354047771323,1354047903260,131937,0,0,0,6,6,2
2012-11-27 00:00:00.000,2012-11-27 15:30:42.561,2012-11-27 15:38:31.954,1353992400000,1354048242561,1354048711954,469393,9,8,7,57,57,11
2012-11-27 00:00:00.000,2012-11-27 15:40:56.011,2012-11-27 15:44:52.070,1353992400000,1354048856011,1354049092070,236059,1,0,2,6,5,1
2012-11-28 00:00:00.000,2012-11-28 09:14:40.533,2012-11-28 09:17:49.563,1354078800000,1354112080533,1354112269563,189030,1,1,0,4,3,2
2012-11-28 00:00:00.000,2012-11-28 10:33:53.529,2012-11-28 10:40:47.855,1354078800000,1354116833529,1354117247855,414326,7,6,0,70,71,11
2012-11-28 00:00:00.000,2012-11-28 11:53:17.244,2012-11-28 11:56:37.304,1354078800000,1354121597244,1354121797304,200060,0,0,0,4,3,1
2012-11-28 00:00:00.000,2012-11-28 11:57:59.559,2012-11-28 12:01:26.592,1354078800000,1354121879559,1354122086592,207033,0,0,0,7,7,1
2012-11-28 00:00:00.000,2012-11-28 12:08:08.031,2012-11-28 12:11:14.062,1354078800000,1354122488031,1354122674062,186031,0,0,0,10,10,1
2012-11-28 00:00:00.000,2012-11-28 14:06:54.215,2012-11-28 14:12:31.254,1354078800000,1354129614215,1354129951254,337039,8,3,0,23,23,7
2012-11-28 00:00:00.000,2012-11-28 14:51:22.439,2012-11-28 14:51:30.295,1354078800000,1354132282439,1354132290295,7856,1,0,0,2,3,0
2012-11-28 00:00:00.000,2012-11-28 14:53:16.500,2012-11-28 14:58:23.524,1354078800000,1354132396500,1354132703524,307024,1,1,0,4,3,3
2012-11-28 00:00:00.000,2012-11-28 15:03:11.202,2012-11-28 15:06:32.268,1354078800000,1354132991202,1354133192268,201066,1,0,1,2,2,1
2012-11-28 00:00:00.000,2012-11-28 15:10:35.819,2012-11-28 15:13:41.841,1354078800000,1354133435819,1354133621841,186022,1,0,0,2,2,1
2012-11-28 00:00:00.000,2012-11-28 15:37:27.030,2012-11-28 15:41:37.063,1354078800000,1354135047030,1354135297063,250033,0,0,1,4,4,1
2012-11-28 00:00:00.000,2012-11-28 15:46:31.868,2012-11-28 15:58:21.932,1354078800000,1354135591868,1354136301932,710064,3,0,9,50,50,4
2012-11-28 00:00:00.000,2012-11-28 16:16:15.562,2012-11-28 16:19:55.628,1354078800000,1354137375562,1354137595628,220066,1,0,0,5,5,1
2012-11-28 00:00:00.000,2012-11-28 16:32:58.875,2012-11-28 16:40:56.934,1354078800000,1354138378875,1354138856934,478059,6,0,5,12,12,6
2012-11-28 00:00:00.000,2012-11-28 17:12:41.087,2012-11-28 17:22:00.120,1354078800000,1354140761087,1354141320120,559033,8,29,7,97,97,35
2012-11-29 00:00:00.000,2012-11-29 09:24:15.294,2012-11-29 09:27:15.333,1354165200000,1354199055294,1354199235333,180039,0,0,0,2,1,1
2012-11-29 00:00:00.000,2012-11-29 11:18:38.599,2012-11-29 11:19:21.350,1354165200000,1354205918599,1354205961350,42751,3,0,0,5,6,0
2012-11-29 00:00:00.000,2012-11-29 11:56:16.677,2012-11-29 12:05:04.705,1354165200000,1354208176677,1354208704705,528028,8,9,0,74,73,10
2012-11-29 00:00:00.000,2012-11-29 12:07:54.114,2012-11-29 12:15:41.154,1354165200000,1354208874114,1354209341154,467040,6,0,0,14,14,2
2012-11-29 00:00:00.000,2012-11-29 12:20:13.634,2012-11-29 12:23:14.916,1354165200000,1354209613634,1354209794916,181282,0,0,0,28,29,1
2012-11-29 00:00:00.000,2012-11-29 12:28:02.128,2012-11-29 12:31:31.407,1354165200000,1354210082128,1354210291407,209279,1,3,0,25,25,5
2012-11-29 00:00:00.000,2012-11-29 13:05:48.245,2012-11-29 13:09:04.281,1354165200000,1354212348245,1354212544281,196036,0,0,0,4,3,1
