date_formatted	starting_time_formatted	ending_time_formatted	date	starting_time	ending_time	duration_init_millis	duration_active_millis	duration_idle_millis	duration_error_millis	num_startups	num_tours	num_tour_46694	num_tour_79105	num_tour_79156	num_tour_79221	num_tour_80073	num_tour_89586	num_idle_periods	num_errors	num_reloads	
2012-08-28 00:00:00.000	2012-08-28 00:00:05.666	2012-08-28 23:59:58.350	1346112000000	1346112005666	1346198398350	35	17262629	68538405	987	2	306	45	76	46	45	46	48	305	5	2	
2012-08-29 00:00:00.000	2012-08-29 00:00:11.364	2012-08-29 23:59:54.001	1346198400000	1346198411364	1346284794001	18	17928467	68194419	23	1	316	51	73	43	41	49	59	311	2	1	
2012-08-30 00:00:00.000	2012-08-30 00:00:07.013	2012-08-30 23:59:51.057	1346284800000	1346284807013	1346371191057	0	18074747	68073841	0	0	320	47	68	50	55	46	54	314	0	0	
2012-08-31 00:00:00.000	2012-08-31 00:00:04.074	2012-08-31 23:59:48.706	1346371200000	1346371204074	1346457588706	73	22634006	63031521	1045	4	401	55	97	67	55	62	65	398	6	3	
2012-09-01 00:00:00.000	2012-09-01 00:00:01.713	2012-09-01 23:59:52.348	1346457600000	1346457601713	1346543992348	36	18143085	67818543	1006	2	319	49	77	49	43	52	49	315	4	2	
2012-09-02 00:00:00.000	2012-09-02 00:00:05.360	2012-09-02 23:59:58.189	1346544000000	1346544005360	1346630398189	39	12677258	73233937	27	2	224	29	53	39	32	34	37	224	2	1	
2012-09-03 00:00:00.000	2012-09-03 00:00:11.198	2012-09-03 23:59:53.647	1346630400000	1346630411198	1346716793647	18	20299358	65817584	59	1	358	51	78	60	57	58	54	350	2	1	
2012-09-04 00:00:00.000	2012-09-04 00:00:06.655	2012-09-04 23:59:50.936	1346716800000	1346716806655	1346803190936	19	15334231	70623925	29	1	271	42	71	41	34	40	43	270	2	1	
2012-09-05 00:00:00.000	2012-09-05 00:00:03.951	2012-09-05 16:55:29.687	1346803200000	1346803203951	1346864129687	40	14849811	44072160	0	2	262	38	61	46	38	38	41	262	0	0	
2012-09-06 00:00:00.000	2012-09-06 06:52:01.575	2012-09-06 16:55:28.761	1346889600000	1346914321575	1346950528761	20	15189742	20668218	0	1	268	39	64	50	34	40	41	267	0	0	
2012-09-07 00:00:00.000	2012-09-07 06:51:40.668	2012-09-07 20:55:37.564	1346976000000	1347000700668	1347051337564	56	21255845	28639320	1025	3	375	66	93	56	51	57	52	374	4	2	
2012-09-08 00:00:00.000	2012-09-08 07:46:37.153	2012-09-08 17:55:14.385	1347062400000	1347090397153	1347126914385	20	18003710	18343207	0	1	318	45	82	52	53	47	39	312	0	0	
2012-09-09 00:00:00.000	2012-09-09 07:46:42.098	2012-09-09 23:59:52.623	1347148800000	1347176802098	1347235192623	39	14900705	43090944	33	2	263	39	71	34	40	44	35	261	2	1	
2012-09-10 00:00:00.000	2012-09-10 00:00:05.635	2012-09-10 20:55:11.905	1347235200000	1347235205635	1347310511905	0	14743948	60268105	0	0	259	32	58	39	42	47	41	257	0	0	
